City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,klyuchi,52.2667,79.1667,-3.44,79,15,1.94,RU,1728917657
83,port alfred,-33.5906,26.891,16.77,82,57,2.24,ZA,1728917658
84,papatowai,-46.5619,169.4708,5.72,80,43,4.89,NZ,1728917659
85,atafu village,-8.5421,-172.5159,27.99,74,46,6.01,TK,1728917660
86,ribeira grande,38.5167,-28.7,23.22,78,40,4.02,PT,1728917661
87,nieuw amsterdam,5.8833,-55.0833,33.01,55,40,1.03,SR,1728917663
88,mejit,10.2753,170.8646,28.26,79,100,8.22,MH,1728917664
89,hasaki,35.7333,140.8333,21.37,61,84,4.89,JP,1728917665
90,luganville,-15.5333,167.1667,24.8,86,100,5.1,VU,1728917666
91,luderitz,-26.6481,15.1594,22.09,49,1,15.76,NA,1728917667
92,cockburn town,21.4612,-71.1419,29.01,72,100,4.75,TC,1728917668
93,susuman,62.7833,148.1667,-7.59,96,100,1.4,RU,1728917669
94,huarmey,-10.0681,-78.1522,20.29,75,35,3.96,PE,1728917670
95,port lincoln,-34.7333,135.8667,16.37,90,100,2.98,AU,1728917671
96,argo,37.6333,22.7333,24.12,57,76,1.41,GR,1728917673
97,bredasdorp,-34.5322,20.0403,16.61,54,30,8.01,ZA,1728917674
98,wau,7.7029,27.9953,29.15,66,41,1.5,SS,1728917675
99,blackmans bay,-43.0167,147.3167,3.74,91,0,0.45,AU,1728917676
100,chom bueng,13.62,99.5917,25.64,87,100,1.28,TH,1728917677
101,impfondo,1.6381,18.0667,28.06,66,76,1.21,CG,1728917678
102,shenjiamen,29.9576,122.298,23.36,92,0,2.43,CN,1728917679
103,suva,-18.1416,178.4415,23.71,94,75,1.54,FJ,1728917429
104,trairi,-3.2778,-39.2689,30.68,54,1,7.93,BR,1728917542
105,san vicente de canete,-13.0751,-76.3835,19.4,74,63,3.92,PE,1728917683
106,roma,43.2128,-75.4557,8.71,95,100,2.06,US,1728917685
107,goundam,16.4145,-3.6708,39.04,20,13,4.8,ML,1728917686
108,ushuaia,-54.8,-68.3,9.81,57,0,2.06,AR,1728917687
109,west island,-12.1568,96.8225,26.99,83,75,6.17,CC,1728917688
110,bamboo flat,11.7,92.7167,29.05,79,40,1.03,IN,1728917690
111,dapa,9.7594,126.0531,28.22,76,86,2.7,PH,1728917691
112,sirte,31.2089,16.5887,24.88,59,1,4.75,LY,1728917692
113,okha,53.5739,142.9478,9.7,77,86,6.84,RU,1728917693
114,camana,-16.6228,-72.7111,19.77,74,81,4.66,PE,1728917694
115,al bahah,20.0129,41.4677,20.3,53,64,3.06,SA,1728917695
116,road town,18.4167,-64.6167,32.02,62,20,4.12,VG,1728917698
117,rio grande,-32.035,-52.0986,21.12,73,100,8.71,BR,1728917699
118,ironwood,46.4547,-90.171,2.45,100,100,2.06,US,1728917700
119,acarau,-2.8856,-40.12,31.39,54,1,9.74,BR,1728917413
120,yellowknife,62.456,-114.3525,6.34,99,100,4.12,CA,1728917702
121,kwang binh,17.4833,106.6,25.56,91,16,1.52,VN,1728917703
122,marsh harbour,26.5412,-77.0636,27.36,78,100,4.79,BS,1728917704
123,kralendijk,12.15,-68.2667,24.99,94,94,3.09,BQ,1728917705
124,gilgit,35.9221,74.3087,17.92,32,20,1.37,PK,1728917706
125,wuwei,37.9281,102.6414,13.79,39,34,2.1,CN,1728917708
126,island harbour,50.724,-1.2758,15.57,68,86,0.45,GB,1728917709
127,gonabad,34.3529,58.6837,24.28,20,39,2.62,IR,1728917710
128,balabac,7.9868,117.0645,28.31,76,99,2.8,PH,1728917711
129,sandnessjoen,66.0217,12.6316,5.06,87,40,2.06,NO,1728917712
130,chibougamau,49.9168,-74.3659,2.79,93,100,3.09,CA,1728917714
131,hawaiian paradise park,19.5933,-154.9731,22.72,100,0,1.54,US,1728917716
132,remire-montjoly,4.9167,-52.2667,32.02,58,75,4.12,GF,1728917717
133,fisterra,42.9049,-9.2629,18.97,83,100,1.14,ES,1728917718
134,crane,31.3974,-102.3501,23.14,28,7,5.07,US,1728917719
135,sihanoukville,10.6093,103.5296,25.97,94,40,0.51,KH,1728917720
136,udachny,66.4167,112.4,-7.77,94,100,5.71,RU,1728917721
137,severo-yeniseyskiy,60.3725,93.0408,-3.19,91,98,3.76,RU,1728917723
138,byron bay,-28.65,153.6167,17.25,78,100,3.25,AU,1728917724
139,enewetak,11.3474,162.3373,28.65,77,100,5.09,MH,1728917725
140,porto novo,6.4965,2.6036,28.9,80,96,2.67,BJ,1728917726
141,hermanus,-34.4187,19.2345,18.22,57,0,10.24,ZA,1728917655
142,kruisfontein,-34.0033,24.7314,16.04,54,61,8.29,ZA,1728917728
143,karratha,-20.7377,116.8463,29.67,17,4,7.55,AU,1728917729
144,nguigmi,14.2495,13.1092,33.68,34,89,5.04,NE,1728917730
145,shingu,33.7333,135.9833,21.77,79,64,4.29,JP,1728917731
146,selfoss,63.9331,-20.9971,3.36,50,94,2.91,IS,1728917733
147,katabu,-4.9333,122.5167,23.85,96,66,1.63,ID,1728917734
148,tondano,1.3038,124.9112,20.05,91,36,0.33,ID,1728917735
149,ola,59.5833,151.2833,3.26,82,100,3.84,RU,1728917736
150,vegreville,53.5001,-112.0518,2.17,86,45,3.09,CA,1728917737
151,kurumkan,54.3,110.3,-6.3,61,47,1.55,RU,1728917738
152,badger,64.8,-147.5333,-0.86,95,100,1.54,US,1728917739
153,spring creek,40.7266,-115.5859,-0.17,34,0,0.43,US,1728917741
154,cassilandia,-19.1133,-51.7342,36.51,24,100,2.34,BR,1728917535
155,djibo,14.1022,-1.6306,36.67,26,48,3.56,BF,1728917743
156,saint-leu,-21.15,55.2833,23.48,93,19,3.0,RE,1728917744
157,suining,30.508,105.5733,22.35,69,100,2.05,CN,1728917745
158,san antonio de pale,-1.4014,5.6325,26.04,77,26,5.49,GQ,1728917746
159,timimoun,29.2639,0.231,33.21,25,40,3.09,DZ,1728917747
160,quellon,-43.1167,-73.6167,12.05,63,12,1.97,CL,1728917748
161,heniches'k,46.1759,34.8034,17.21,73,100,5.8,UA,1728917749
162,mount gambier,-37.8333,140.7667,10.96,82,64,3.6,AU,1728917751
163,chos malal,-37.3781,-70.2709,18.1,26,33,2.6,AR,1728917752
164,whitehorse,60.7161,-135.0538,4.43,77,75,5.14,CA,1728917753
165,keflavik,64.0049,-22.5624,4.24,52,75,2.57,IS,1728917754
166,edd,13.9297,41.6925,31.64,60,41,3.85,ER,1728917755
167,stanley,54.868,-1.6985,11.82,63,0,2.06,GB,1728917756
168,shahr-e babak,30.1165,55.1186,22.73,18,41,1.31,IR,1728917757
169,hirara,24.8,125.2833,25.15,83,100,3.09,JP,1728917758
170,queenstown,-31.8976,26.8753,14.92,55,96,6.87,ZA,1728917711
171,bel ombre,-4.6167,55.4167,27.91,74,20,5.66,SC,1728917761
172,hilo,19.7297,-155.09,22.84,100,0,1.54,US,1728917762
173,namibe,-15.1961,12.1522,23.7,77,37,5.85,AO,1728917699
174,vilyuchinsk,52.9306,158.4028,7.15,81,45,4.41,RU,1728917764
175,namdrik,5.5994,168.1028,29.57,71,88,6.44,MH,1728917765
176,villa gesell,-37.2639,-56.973,18.92,62,100,9.26,AR,1728917766
177,nagqu,31.5,92.0,3.37,39,100,2.07,CN,1728917768
178,sao felix do xingu,-6.6447,-51.995,39.68,23,42,1.33,BR,1728917769
179,bardai,11.65,7.2333,30.92,43,100,2.1,NG,1728917770
180,uglegorsk,49.0833,142.0333,13.88,84,100,6.97,RU,1728917771
181,segarcea,44.1,23.75,23.14,29,3,7.05,RO,1728917772
182,chonchi,-42.6128,-73.8092,14.41,49,17,0.97,CL,1728917773
183,punta arenas,-53.15,-70.9167,10.06,62,75,9.26,CL,1728917440
184,coyhaique,-45.5752,-72.0662,10.51,69,37,3.55,CL,1728917721
185,likasi,-10.9814,26.7333,19.74,78,100,3.45,CD,1728917776
186,leava,-14.3,-178.1667,26.76,81,100,7.59,WF,1728917778
187,timbuktu,16.7735,-3.0074,39.39,18,9,4.4,ML,1728917779
188,ulan-ude,51.8261,107.6098,-7.06,68,60,1.0,RU,1728917780
189,akrehamn,59.2667,5.1833,8.14,66,75,3.6,NO,1728917781
190,pandan,14.0453,124.1694,27.18,88,100,3.09,PH,1728917782
191,iskateley,67.6803,53.1512,1.02,98,100,4.67,RU,1728917783
192,sol'tsy,58.1239,30.3238,6.75,95,100,1.75,RU,1728917784
193,yemel'yanovo,56.1681,92.6767,1.45,44,0,6.0,RU,1728917785
194,dudinka,69.4058,86.1778,-14.51,96,58,2.0,RU,1728917786
195,kodiak,57.79,-152.4072,7.73,87,75,3.6,US,1728917502
196,kill devil hills,36.0307,-75.676,23.32,70,0,4.12,US,1728917789
197,hellertown,40.5795,-75.3407,17.16,51,0,7.2,US,1728917790
198,labrador city,52.9463,-66.9114,0.1,75,100,30.4,CA,1728917791
199,gorontalo,0.5412,123.0595,24.62,95,94,1.1,ID,1728917792
200,brokopondo,4.75,-55.1667,29.33,58,80,0.67,SR,1728917793
201,longyearbyen,78.2186,15.6401,3.91,75,40,7.2,SJ,1728917794
202,changji,44.0167,87.3167,14.44,51,0,1.0,CN,1728917795
203,vila velha,-20.3297,-40.2925,26.97,66,75,7.72,BR,1728917546
204,ta`u,-14.2336,-169.5144,26.56,80,64,9.02,AS,1728917798
205,anqing,30.5092,117.0506,21.01,83,100,0.3,CN,1728917799
206,hamilton,39.1834,-84.5333,11.47,66,100,5.66,US,1728917800
207,misratah,32.3754,15.0925,25.18,56,0,4.49,LY,1728917801
208,avanhard,48.448,33.6899,11.92,52,59,3.77,UA,1728917802
209,paoy paet,13.6561,102.5625,26.2,85,99,1.81,KH,1728917803
210,katsuura,35.1333,140.3,21.22,69,85,5.84,JP,1728917805
211,sayaxche,16.5167,-90.1667,24.2,84,99,1.32,GT,1728917806
212,wailua homesteads,22.0669,-159.378,25.44,73,40,6.17,US,1728917807
213,tolanaro,-25.0319,46.9987,24.04,78,20,11.83,MG,1728917808
214,urangan,-25.3,152.9,20.68,74,100,4.36,AU,1728917809
215,saynshand,44.8824,110.1163,2.36,37,1,5.02,MN,1728917812
216,la'ie,21.6477,-157.9253,23.66,91,67,5.36,US,1728917813
217,fort bragg,35.139,-79.006,23.28,67,0,5.14,US,1728917817
218,saldanha,-33.0117,17.9442,17.45,57,0,13.78,ZA,1728917818
219,kone,-21.0595,164.8658,17.55,77,24,2.73,NC,1728917819
220,geraldton,-28.7667,114.6,18.23,88,100,0.0,AU,1728917820
221,st. john's,47.5649,-52.7093,11.65,76,75,7.72,CA,1728917821
222,jamestown,42.097,-79.2353,5.57,94,100,4.63,US,1728917822
223,fort saskatchewan,53.7168,-113.2187,5.43,62,25,3.27,CA,1728917779
224,micheweni,-4.9667,39.8333,26.0,78,96,4.82,TZ,1728917825
225,leua,48.2156,18.6071,12.83,56,100,2.33,SK,1728917826
226,puerto gaitan,4.3133,-72.0816,27.5,73,99,2.14,CO,1728917828
227,hirtshals,57.5881,9.9592,10.03,70,100,5.96,DK,1728917829
228,tual,-5.6667,132.75,27.75,79,92,7.97,ID,1728917832
229,korla,41.7597,86.1469,18.17,34,52,3.11,CN,1728917833
230,lindi,-10.0,39.7167,26.43,70,98,3.69,TZ,1728917834
231,kassala,15.451,36.4,36.82,20,38,2.64,SD,1728917836
232,necochea,-38.5473,-58.7368,22.51,48,99,6.3,AR,1728917733
233,chinju,35.1928,128.0847,17.52,97,100,1.65,KR,1728917841
234,happy valley-goose bay,53.3168,-60.3315,5.17,75,75,3.6,CA,1728917842
235,peace river,56.2501,-117.286,10.92,73,75,1.54,CA,1728917714
